Id,Step,Pop,Drivers
0,0,1,1
0,1,1,1
0,2,1,1
0,3,1,1
0,4,1,1
0,5,1,1
0,6,1,1
0,7,1,1
0,8,1,1
0,9,1,1
0,10,1,1
0,11,1,1
0,12,1,1
0,13,1,1
0,14,1,1
0,15,1,1
0,16,1,1
0,17,1,1
0,18,1,1
0,19,1,1
0,20,1,1
0,21,1,1
0,22,1,1
0,23,1,1
0,24,2,1
0,25,2,1
0,26,2,1
0,27,2,1
0,28,2,1
0,29,2,1
0,30,2,1
0,31,2,1
0,32,2,1
0,33,2,1
0,34,2,1
0,35,2,1
0,36,2,1
0,37,2,1
0,38,2,1
0,39,2,1
0,40,2,1
0,41,2,1
0,42,2,1
0,43,2,1
0,44,2,1
0,45,2,1
0,46,2,1
0,47,2,1
0,48,2,1
0,49,2,1
0,50,2,1
0,51,2,1
0,52,2,1
0,53,2,1
0,54,2,1
0,55,2,1
0,56,3,1
0,57,3,1
0,58,3,1
0,59,3,1
0,60,3,1
0,61,3,1
0,62,3,1
0,63,3,1
0,64,3,1
0,65,2,1
0,66,2,1
0,67,2,1
0,68,2,1
0,69,2,1
0,70,2,1
0,71,2,1
0,72,3,1
0,73,3,1
0,74,3,1
0,75,3,1
0,76,3,1
0,77,3,1
0,78,3,1
0,79,3,1
0,80,3,1
0,81,3,1
0,82,3,1
0,83,3,1
0,84,4,1
0,85,4,1
0,86,4,1
0,87,4,1
0,88,4,1
0,89,4,1
0,90,4,1
0,91,4,1
0,92,4,1
0,93,4,1
0,94,4,1
0,95,4,1
0,96,4,1
0,97,5,1
0,98,5,1
0,99,5,1
0,100,5,1
0,101,6,1
0,102,6,1
0,103,6,1
0,104,6,1
0,105,6,1
0,106,6,1
0,107,6,1
0,108,6,1
0,109,6,1
0,110,7,1
0,111,6,1
0,112,5,1
0,113,5,1
0,114,5,1
0,115,4,1
0,116,4,1
0,117,4,1
0,118,4,1
0,119,4,1
0,120,5,1
0,121,5,1
0,122,5,1
0,123,5,1
0,124,5,1
0,125,5,1
0,126,4,1
0,127,4,1
0,128,4,1
0,129,4,1
0,130,4,1
0,131,4,1
0,132,4,1
0,133,4,1
0,134,5,1
0,135,5,1
0,136,5,1
0,137,4,1
0,138,4,1
0,139,4,1
0,140,4,1
0,141,4,1
0,142,5,1
0,143,5,1
0,144,5,1
0,145,5,1
0,146,5,1
0,147,5,1
0,148,5,1
0,149,5,1
0,150,5,1
0,151,5,1
0,152,5,1
0,153,5,1
0,154,5,1
0,155,5,1
0,156,5,1
0,157,5,1
0,158,5,1
0,159,5,1
0,160,5,1
0,161,3,1
0,162,3,1
0,163,3,1
0,164,3,1
0,165,3,1
0,166,3,1
0,167,3,1
0,168,3,1
0,169,4,1
0,170,4,1
0,171,5,1
0,172,5,1
0,173,5,1
0,174,5,1
0,175,5,1
0,176,5,1
0,177,5,1
0,178,5,1
0,179,4,1
0,180,4,1
0,181,4,1
0,182,4,1
0,183,4,1
0,184,4,1
0,185,4,1
0,186,4,1
0,187,4,1
0,188,4,1
0,189,4,1
0,190,4,1
0,191,4,1
