RepeatId,GenerationId,popCount,aliveCount,totalCount,generations,treeDepth,nodeCount,leafCount,branching,subcloneTotal,subcloneSelect,clonalDiversity,treeBalance,meanDriversPerCell
0,0,1,12,6714,1000,0,1,1,0,1,1,1,0,1
1,0,1,0,4801,916,0,1,1,0,1,1,NaN,0,NaN
2,0,1,0,972,265,0,1,1,0,1,1,NaN,0,NaN
3,0,1,82,11192,1000,0,1,1,0,1,1,1,0,1
4,0,1,0,1868,495,0,1,1,0,1,1,NaN,0,NaN
5,0,1,26,7491,1000,0,1,1,0,1,1,1,0,1
6,0,1,15,5270,1000,0,1,1,0,1,1,1,0,1
7,0,1,135,12907,1000,0,1,1,0,1,1,1,0,1
8,0,1,260,20051,1000,0,1,1,0,1,1,1,0,1
9,0,1,457,30545,1000,0,1,1,0,1,1,1,0,1
10,0,1,0,2125,526,0,1,1,0,1,1,NaN,0,NaN
11,0,1,80,22025,1000,0,1,1,0,1,1,1,0,1
12,0,1,52,11857,1000,0,1,1,0,1,1,1,0,1
13,0,1,122,16936,1000,0,1,1,0,1,1,1,0,1
14,0,1,0,691,145,0,1,1,0,1,1,NaN,0,NaN
15,0,1,101,13787,1000,0,1,1,0,1,1,1,0,1
16,0,1,0,1658,301,0,1,1,0,1,1,NaN,0,NaN
17,0,1,50,10327,1000,0,1,1,0,1,1,1,0,1
18,0,1,8,5193,1000,0,1,1,0,1,1,1,0,1
19,0,1,21,4582,1000,0,1,1,0,1,1,1,0,1
20,0,1,0,2802,525,0,1,1,0,1,1,NaN,0,NaN
21,0,1,281,35772,1000,0,1,1,0,1,1,1,0,1
22,0,1,163,8236,1000,0,1,1,0,1,1,1,0,1
23,0,1,0,3861,782,0,1,1,0,1,1,NaN,0,NaN
24,0,1,160,10230,1000,0,1,1,0,1,1,1,0,1
25,0,1,208,14501,1000,0,1,1,0,1,1,1,0,1
26,0,1,0,6510,757,0,1,1,0,1,1,NaN,0,NaN
27,0,1,78,6013,1000,0,1,1,0,1,1,1,0,1
28,0,1,604,44604,1000,0,1,1,0,1,1,1,0,1
29,0,1,114,7550,1000,0,1,1,0,1,1,1,0,1
30,0,1,0,2921,524,0,1,1,0,1,1,NaN,0,NaN
31,0,1,383,16652,1000,0,1,1,0,1,1,1,0,1
32,0,1,0,2059,313,0,1,1,0,1,1,NaN,0,NaN
33,0,1,98,7601,1000,0,1,1,0,1,1,1,0,1
34,0,1,133,7979,1000,0,1,1,0,1,1,1,0,1
35,0,1,0,3873,702,0,1,1,0,1,1,NaN,0,NaN
36,0,1,382,24833,1000,0,1,1,0,1,1,1,0,1
37,0,1,0,1791,406,0,1,1,0,1,1,NaN,0,NaN
38,0,1,0,1337,404,0,1,1,0,1,1,NaN,0,NaN
39,0,1,272,14031,1000,0,1,1,0,1,1,1,0,1
40,0,1,223,12208,1000,0,1,1,0,1,1,1,0,1
41,0,1,336,30588,1000,0,1,1,0,1,1,1,0,1
