RepeatId,GenerationId,popCount,aliveCount,totalCount,generations,treeDepth,nodeCount,leafCount,branching,subcloneTotal,subcloneSelect,clonalDiversity,treeBalance,meanDriversPerCell
0,0,1,48,642,1000,0,1,1,0,1,1,1,0,1
1,0,1,130,1362,1000,0,1,1,0,1,1,1,0,1
2,0,1,62,851,1000,0,1,1,0,1,1,1,0,1
3,0,1,50,746,1000,0,1,1,0,1,1,1,0,1
4,0,1,146,1085,1000,0,1,1,0,1,1,1,0,1
5,0,1,64,762,1000,0,1,1,0,1,1,1,0,1
6,0,1,168,1518,1000,0,1,1,0,1,1,1,0,1
7,0,1,78,1003,1000,0,1,1,0,1,1,1,0,1
8,0,1,148,1465,1000,0,1,1,0,1,1,1,0,1
9,0,1,41,797,1000,0,1,1,0,1,1,1,0,1
10,0,1,97,1009,1000,0,1,1,0,1,1,1,0,1
11,0,1,77,829,1000,0,1,1,0,1,1,1,0,1
12,0,1,49,762,1000,0,1,1,0,1,1,1,0,1
13,0,1,89,1016,1000,0,1,1,0,1,1,1,0,1
14,0,1,97,981,1000,0,1,1,0,1,1,1,0,1
15,0,1,114,1306,1000,0,1,1,0,1,1,1,0,1
16,0,1,132,1169,1000,0,1,1,0,1,1,1,0,1
17,0,1,131,1109,1000,0,1,1,0,1,1,1,0,1
18,0,1,70,933,1000,0,1,1,0,1,1,1,0,1
19,0,1,116,1244,1000,0,1,1,0,1,1,1,0,1
20,0,1,81,920,1000,0,1,1,0,1,1,1,0,1
21,0,1,115,1043,1000,0,1,1,0,1,1,1,0,1
22,0,1,46,774,1000,0,1,1,0,1,1,1,0,1
23,0,1,60,881,1000,0,1,1,0,1,1,1,0,1
24,0,1,107,1057,1000,0,1,1,0,1,1,1,0,1
25,0,1,95,1248,1000,0,1,1,0,1,1,1,0,1
26,0,1,66,776,1000,0,1,1,0,1,1,1,0,1
27,0,1,67,889,1000,0,1,1,0,1,1,1,0,1
28,0,1,116,1189,1000,0,1,1,0,1,1,1,0,1
29,0,1,31,852,1000,0,1,1,0,1,1,1,0,1
30,0,1,50,695,1000,0,1,1,0,1,1,1,0,1
31,0,1,99,1027,1000,0,1,1,0,1,1,1,0,1
32,0,1,109,1251,1000,0,1,1,0,1,1,1,0,1
33,0,1,93,1094,1000,0,1,1,0,1,1,1,0,1
34,0,1,46,1043,1000,0,1,1,0,1,1,1,0,1
35,0,1,95,1241,1000,0,1,1,0,1,1,1,0,1
36,0,1,90,980,1000,0,1,1,0,1,1,1,0,1
37,0,1,63,897,1000,0,1,1,0,1,1,1,0,1
38,0,1,111,1153,1000,0,1,1,0,1,1,1,0,1
39,0,1,78,1250,1000,0,1,1,0,1,1,1,0,1
40,0,1,26,691,1000,0,1,1,0,1,1,1,0,1
41,0,1,147,1211,1000,0,1,1,0,1,1,1,0,1
42,0,1,110,1095,1000,0,1,1,0,1,1,1,0,1
43,0,1,121,1310,1000,0,1,1,0,1,1,1,0,1
44,0,1,137,1237,1000,0,1,1,0,1,1,1,0,1
45,0,1,52,1024,1000,0,1,1,0,1,1,1,0,1
46,0,1,109,1039,1000,0,1,1,0,1,1,1,0,1
47,0,1,83,1050,1000,0,1,1,0,1,1,1,0,1
48,0,1,142,1411,1000,0,1,1,0,1,1,1,0,1
49,0,1,103,1261,1000,0,1,1,0,1,1,1,0,1
50,0,1,132,1274,1000,0,1,1,0,1,1,1,0,1
51,0,1,100,1259,1000,0,1,1,0,1,1,1,0,1
52,0,1,58,851,1000,0,1,1,0,1,1,1,0,1
53,0,1,113,1170,1000,0,1,1,0,1,1,1,0,1
54,0,1,143,1280,1000,0,1,1,0,1,1,1,0,1
55,0,1,23,464,1000,0,1,1,0,1,1,1,0,1
56,0,1,90,977,1000,0,1,1,0,1,1,1,0,1
57,0,1,105,1302,1000,0,1,1,0,1,1,1,0,1
58,0,1,25,702,1000,0,1,1,0,1,1,1,0,1
59,0,1,120,1216,1000,0,1,1,0,1,1,1,0,1
