RepeatId,GenerationId,Generations,Time,SubcloneSelect,SubcloneAlive,SubcloneTotal,CellSelectCount,CellAliveCount,CellNecroCount,CellTumorCount,CellLostCount,CellTotalCount,MeanDriversPerCell,ClonalDiversity,TreeBalance,TreeDepth,NodeCount,LeafCount,Branching
0,0,4568,00:00:00.0860000,1,1,1,1001,1001,0,1001,5746,6747,1,1,0,0,1,1,0
0,1,4913,00:00:00.1220000,1,3,3,2003,2005,0,2005,9884,11889,1,1,0,0,1,1,0
0,2,5278,00:00:00.1640000,1,5,6,4012,4017,0,4017,18760,22777,1,1,0,0,1,1,0
0,3,5698,00:00:00.1750000,2,7,12,8002,8014,3,8017,39096,47113,1.0019995001249689,1.00400699073163,0,1,2,1,1
0,4,6140,00:00:00.2050000,3,9,20,15507,15538,482,16020,80132,96152,1.003288837299284,1.0066048240710834,0,1,3,2,1
0,5,6614,00:00:00.2550000,5,23,45,29181,29270,2787,32057,163859,195916,1.0071621945786642,1.0144637525415534,0.004453911911696196,1,5,4,1
0,6,7115,00:00:00.2860000,8,36,85,53293,53457,10581,64038,324169,388207,1.0185202559435573,1.0380223203679273,0.016678832471370697,1,8,7,1
0,7,7676,00:00:00.3420000,11,57,158,94677,94969,33080,128049,640542,768591,1.035658079575821,1.075074313607193,0.031312815845012665,1,11,10,1
0,8,8316,00:00:00.4470000,12,103,307,164092,165309,90694,256003,1260744,1516747,1.0724471637861688,1.1611162609599412,0.06181453540921211,1,12,11,1
0,9,9037,00:00:00.6810000,14,187,597,280719,284396,227933,512329,2426577,2938906,1.157217715936577,1.3996708962977051,0.12815025448799133,1,14,13,1
0,10,9837,00:00:01.0100000,21,363,1142,477557,486548,538290,1024838,4539508,5564346,1.3342847031872636,2.170430198826379,0.24916861951351166,1,21,20,1
0,11,10686,00:00:01.6720000,29,596,2035,812246,832631,1215507,2048138,8115125,10163263,1.581714160488325,4.419934061134931,0.4057660698890686,1,29,28,1
0,12,11602,00:00:02.9740000,35,1022,3623,1363364,1416208,2682223,4098431,14196660,18295091,1.8122306295310717,7.494416909837374,0.551135241985321,2,35,31,1.0967742
0,13,12636,00:00:05.8640000,45,1835,6619,2253331,2377560,5814998,8192558,25053603,33246161,1.9719424265676015,8.014922111897926,0.6237940788269043,2,45,36,1.2222222
0,14,13839,00:00:16.9710000,60,3267,12325,3648894,3958792,12426999,16385791,45002640,61388431,2.11851974872386,9.145579662764945,0.6120932102203369,3,60,49,1.2040817
0,15,15232,00:00:50.2480000,85,5744,23032,5841107,6640001,26129649,32769650,81080461,113850111,2.400577835673957,15.741120839484712,0.5816177129745483,3,85,69,1.2173913
0,16,16802,00:02:00.0670000,108,10232,41927,9504675,11322340,54226513,65548853,143172882,208721735,2.884408777785669,28.05828044340208,0.6298637390136719,3,109,84,1.2857143
0,17,18574,00:04:21.3750000,115,17371,76174,15756694,19276061,111817026,131093087,249399088,380492175,3.3718976836130725,12.880095947589,0.5348115563392639,4,116,84,1.3690476
0,18,20611,00:09:11.9510000,100,29879,139510,26215951,32711447,229491441,262202888,434248312,696451200,3.858896516857237,5.15689959903531,0.4354081451892853,3,101,76,1.3157895
0,19,22993,00:19:30.5830000,98,51847,257761,43470776,55287909,469112485,524400394,762324046,1286724440,4.319044247105228,5.917260266934137,0.5138174891471863,3,99,75,1.3066666
0,20,25787,00:41:53.3160000,95,89409,478031,70709245,94733926,953978827,1048712753,1341734942,2390447695,5.020799670538131,16.722770289901284,0.5199002027511597,4,96,71,1.3380282
9,0,3022,00:00:00.1280000,1,1,1,1002,1002,0,1002,5071,6073,1,1,0,0,1,1,0
9,1,3409,00:00:00.1490000,1,1,2,2003,2003,0,2003,9590,11593,1,1,0,0,1,1,0
9,2,3832,00:00:00.1770000,2,5,9,4002,4005,0,4005,19711,23716,1.0024987506246876,1.0050099791186529,0,1,2,1,1
9,3,4285,00:00:00.1920000,2,5,14,7998,8008,2,8010,41258,49268,1.0011252813203302,1.0022530846517097,0,1,2,1,1
9,4,4701,00:00:00.2020000,3,8,19,15504,15536,470,16006,79555,95561,1.0052889576883386,1.01064439806762,0,1,3,2,1
9,5,5177,00:00:00.2290000,5,22,42,29114,29177,2831,32008,164543,196551,1.0111286666208696,1.0225941740583826,0.008411001414060593,1,5,4,1
9,6,5679,00:00:00.2570000,7,37,82,53247,53474,10642,64116,325287,389403,1.0261986590793848,1.0543203932694436,0.021459195762872696,1,7,6,1
9,7,6226,00:00:00.3040000,9,66,166,94621,95205,32820,128025,631898,759923,1.053159446634468,1.1146185945086475,0.04302770271897316,1,9,8,1
9,8,6851,00:00:00.4050000,12,129,336,164157,165934,90129,256063,1231791,1487854,1.1146219777408213,1.2709162964233318,0.08596046268939972,1,12,11,1
9,9,7542,00:00:00.6580000,19,213,605,282029,286428,225752,512180,2338026,2850206,1.2319903272358517,1.66381103856106,0.1585729867219925,1,19,18,1
9,10,8296,00:00:01.0360000,24,380,1115,478201,491143,532909,1024052,4303016,5327068,1.4277259980635757,2.731488115527925,0.28124386072158813,2,24,22,1.0454545
9,11,9101,00:00:01.7300000,38,661,1989,817380,843131,1206661,2049792,7639048,9688840,1.6870513102840783,5.175110241525867,0.41153600811958313,2,38,32,1.15625
9,12,9978,00:00:03.0660000,47,1077,3556,1372473,1432493,2665967,4098460,13380231,17478691,1.9181863686935918,6.863074926840963,0.5033356547355652,3,47,39,1.1794872
9,13,10969,00:00:06.0750000,60,1802,6389,2293365,2416831,5778010,8194841,23605456,31800297,2.1424282658887703,8.020772943019422,0.529376745223999,3,60,49,1.2040817
9,14,12089,00:00:14.1290000,68,3157,11632,3790341,4079881,12306531,16386412,41598370,57984782,2.454822402522623,12.043610839490238,0.5285916328430176,3,68,53,1.264151
9,15,13346,00:00:40.3050000,71,5510,21045,6364339,6980861,25789529,32770390,72492732,105263122,2.949442825091498,16.713732150568525,0.547703742980957,3,72,54,1.3148148
9,16,14751,00:01:34.7950000,59,9546,38071,10761785,11978937,53577698,65556635,124675187,190231822,3.453892453714695,8.941793032944105,0.5604681968688965,4,60,43,1.3720931
9,17,16368,00:03:28.7660000,60,16449,69524,18107068,20251230,110868322,131119552,216006621,347126173,3.8219932128161225,4.8165949609919405,0.5052788257598877,4,61,42,1.4285715
9,18,18290,00:07:36.6790000,64,28591,129122,29463079,33744695,228462229,262206924,383411157,645618081,4.099155319102936,4.328887393041554,0.4907897114753723,4,65,46,1.3913044
9,19,20600,00:16:55.8800000,76,50728,243873,45890176,56370493,468048853,524419346,693987946,1218407292,4.455305401312908,7.489799193530085,0.41979432106018066,3,77,63,1.2063493
9,20,23353,00:38:02.1240000,101,89188,461929,70434095,95298245,953291897,1048590142,1258038826,2306628968,4.993797762291118,15.399790553001198,0.46353426575660706,4,102,83,1.2168674
10,0,3211,00:00:00.0560000,2,2,3,1006,1006,0,1006,5080,6086,1.002982107355865,1.005981945083516,0,1,2,1,1
10,1,3628,00:00:00.1590000,3,3,4,2006,2006,0,2006,9952,11958,1.0089730807577268,1.0181406165139404,0,1,3,2,1
10,2,3990,00:00:00.2280000,4,6,10,4001,4006,0,4006,18575,22581,1.026743314171457,1.0552213580203431,0.011976146139204502,1,4,3,1
10,3,4380,00:00:00.2830000,4,6,14,8001,8003,3,8006,37071,45077,1.0416197975253094,1.0875205594525006,0.026086583733558655,1,4,3,1
