RepeatId,GenerationId,Generations,Time,SubcloneSelect,SubcloneAlive,SubcloneTotal,CellSelectCount,CellAliveCount,CellNecroCount,CellTumorCount,CellLostCount,CellTotalCount,MeanDriversPerCell,ClonalDiversity,TreeBalance,TreeDepth,NodeCount,LeafCount,Branching
0,0,2804,00:00:00.0680000,1,1,2,1003,1003,0,1003,5893,6896,1,1,0,0,1,1,0
0,1,3130,00:00:00.0860000,1,2,3,2007,2009,0,2009,9985,11994,1,1,0,0,1,1,0
0,2,3524,00:00:00.1210000,2,3,4,3999,4001,0,4001,20278,24279,1.0022505626406601,1.0045112341743996,0,1,2,1,1
0,3,3929,00:00:00.1320000,3,5,7,8010,8014,6,8020,42212,50232,1.0121098626716605,1.0245848176745211,0.009809679351747036,1,3,2,1
0,4,4342,00:00:00.1570000,3,7,12,15518,15523,483,16006,84399,100405,1.0202345663100916,1.0415032786016614,0.01872851513326168,1,3,2,1
0,5,4765,00:00:00.1740000,3,17,34,29196,29264,2754,32018,166542,198560,1.0338060008220304,1.0705466434161133,0.0334344319999218,1,3,2,1
0,6,5210,00:00:00.2010000,4,29,70,53404,53554,10511,64065,321931,385996,1.0731218635308217,1.1606327813838844,0.0545269250869751,1,4,3,1
0,7,5697,00:00:00.2530000,6,58,147,95158,95568,32558,128126,620595,748721,1.158862103028647,1.390894600739754,0.08874022215604782,1,6,5,1
0,8,6202,00:00:00.3490000,8,108,277,166580,168168,87958,256126,1146754,1402880,1.3107936126785928,1.9304738211696137,0.151712104678154,1,8,7,1
0,9,6720,00:00:00.5400000,14,197,505,290153,294185,217940,512125,2044746,2556871,1.538750245560101,2.9298361126751717,0.23952944576740265,2,14,11,1.1818181
0,10,7246,00:00:00.8390000,20,356,914,502117,511419,513472,1024891,3534941,4559832,1.7812023890846158,3.585867294603406,0.2867365777492523,2,20,17,1.117647
0,11,7799,00:00:01.4290000,27,587,1591,861594,885005,1165566,2050571,6069240,8119811,2.0204806440156267,3.8378213944629898,0.3159884512424469,3,27,22,1.1818181
0,12,8386,00:00:02.1520000,35,1049,2899,1468602,1529647,2569039,4098686,10357429,14456115,2.3157853523282688,5.296394680709042,0.34538206458091736,3,35,27,1.2592592
0,13,8996,00:00:03.1930000,43,1806,5111,2533214,2677358,5515032,8192390,17347379,25539769,2.748116424431572,10.212252846811076,0.3965223729610443,4,43,33,1.2727273
0,14,9618,00:00:05.1020000,44,3211,8957,4488370,4797899,11603801,16401700,28350257,44751957,3.3407366148512714,14.733869236561292,0.44755858182907104,4,44,32,1.34375
0,15,10245,00:00:08.8960000,40,5553,15637,8152330,8718116,24082593,32800709,45192475,77993184,4.004321831917991,10.580063723561178,0.442917138338089,4,41,29,1.3793104
0,16,10901,00:00:21.9580000,35,9813,27400,14655824,15657431,49902838,65560269,71777022,137337291,4.527488253134044,6.059393766181583,0.4986002743244171,5,36,22,1.5909091
0,17,11631,00:00:52.7860000,38,17770,49627,25343957,27339730,103798541,131138271,116870717,248008988,4.850775512284842,4.049156205460088,0.3520585596561432,4,39,24,1.5833334
0,18,12482,00:01:59.9610000,51,32008,92422,41799887,46863777,215420850,262284627,198470260,460754887,5.0898051470809,4.016414445899644,0.38251450657844543,4,52,39,1.3076923
0,19,13469,00:04:24.0120000,73,58309,174309,66867456,81846998,442681086,524528084,344219023,868747107,5.491690217734618,7.656284878745479,0.43454691767692566,4,74,61,1.1967213
0,20,14569,00:09:31.4940000,107,107373,328253,113067659,149209152,899423719,1048632871,588217720,1636850591,6.225779017853372,23.008399768715908,0.5231556296348572,4,108,81,1.3209877
