RepeatId,GenerationId,Generations,Time,SubcloneSelect,SubcloneAlive,SubcloneTotal,CellSelectCount,CellAliveCount,CellNecroCount,CellTumorCount,CellLostCount,CellTotalCount,MeanDriversPerCell,ClonalDiversity,TreeBalance,TreeDepth,NodeCount,LeafCount,Branching
0,0,2959,00:00:00.0450000,1,1,1,1003,1003,0,1003,4134,5137,1,1,0,0,1,1,0
0,1,3316,00:00:00.0600000,1,1,3,2008,2008,0,2008,9367,11375,1,1,0,0,1,1,0
0,2,3667,00:00:00.0860000,1,2,4,4002,4005,0,4005,19387,23392,1,1,0,0,1,1,0
0,3,4024,00:00:00.0920000,2,5,9,8004,8015,0,8015,39918,47933,1.0017491254372815,1.003504315158476,0,1,2,1,1
0,4,4360,00:00:00.0990000,3,6,11,16040,16064,0,16064,79073,95137,1.005361596009975,1.010794066872117,0,1,3,2,1
0,5,4711,00:00:00.1190000,4,14,28,31967,32022,0,32022,160929,192951,1.0123252103731974,1.0250372604017064,0.00823851116001606,1,4,3,1
0,6,5041,00:00:00.1300000,5,17,41,63938,64090,0,64090,313727,377817,1.029278363414558,1.0608630125988114,0.023440510034561157,1,5,4,1
0,7,5373,00:00:00.1450000,6,35,75,127576,128116,0,128116,620165,748281,1.0622452498902615,1.1353420774203857,0.04721364378929138,1,6,5,1
0,8,5684,00:00:00.1700000,9,65,149,255246,256254,0,256254,1191916,1448170,1.1264740681538594,1.3013536413259512,0.0840122178196907,1,9,8,1
0,9,5970,00:00:00.2050000,10,124,273,509558,513029,0,513029,2242343,2755372,1.224088327530919,1.615991220256773,0.14283989369869232,1,10,9,1
0,10,6226,00:00:00.2650000,14,234,512,1019864,1026276,0,1026276,4121098,5147374,1.3561592526062298,2.180805276839067,0.20544162392616272,2,14,12,1.0833334
0,11,6455,00:00:00.3880000,15,466,948,2029923,2048255,0,2048255,7483553,9531808,1.4956064835956833,2.9601860628333,0.27603670954704285,2,15,13,1.0769231
0,12,6661,00:00:00.5440000,18,897,1777,4056900,4099931,0,4099931,13528549,17628480,1.6332263550987207,3.771766022929671,0.33419668674468994,2,18,15,1.1333333
0,13,6848,00:00:00.8420000,19,1662,3298,8091924,8200036,0,8200036,24514419,32714455,1.7589547306672677,4.334814575121103,0.38112354278564453,2,19,15,1.2
0,14,7021,00:00:01.2980000,20,3209,6107,16115799,16393963,0,16393963,44854020,61247983,1.872575228817386,4.631030434824849,0.4002489447593689,2,20,16,1.1875
0,15,7183,00:00:02.1780000,21,6282,11557,32163754,32898450,0,32898450,82998751,115897201,1.9809044056237963,4.823419321840346,0.4085580110549927,2,21,17,1.1764706
0,16,7334,00:00:04.7000000,21,12325,22012,63795166,65800382,0,65800382,154229338,220029720,2.0853373749352735,5.004860694216381,0.40490883588790894,2,21,17,1.1764706
0,17,7475,00:00:09.6190000,26,24071,41866,126823538,131323970,0,131323970,287100401,418424371,2.1987816173366808,5.236685660577769,0.3987305164337158,3,26,19,1.3157895
0,18,7608,00:00:18.6250000,29,47132,80008,252350032,263023552,0,263023552,537686464,800710016,2.313039235120842,5.332515159165081,0.38374751806259155,3,29,20,1.4
0,19,7733,00:00:35.0280000,34,92677,153614,502927295,526983742,0,526983742,1009475360,1536459102,2.4310796931393432,5.228884802863725,0.3607233166694641,3,34,24,1.375
0,20,7850,00:01:03.7690000,36,180839,293840,994106355,1051734674,0,1051734674,1892341475,2944076149,2.543144495842198,4.906426842693147,0.33802542090415955,3,36,26,1.3461539
9,0,3017,00:00:00.0540000,2,2,2,1004,1004,0,1004,4935,5939,1.002988047808765,1.0059939373000626,0,1,2,1,1
9,1,3340,00:00:00.0660000,2,2,2,2004,2004,0,2004,9621,11625,1.0149700598802396,1.0303881271236222,0,1,2,1,1
9,2,3676,00:00:00.0870000,2,2,2,4014,4014,0,4014,19048,23062,1.042351768809168,1.0882769079717698,0,1,2,1,1
9,3,4009,00:00:00.0910000,2,4,6,8018,8022,0,8022,38238,46260,1.101272137690197,1.222542063557046,0,1,2,1,1
9,4,4302,00:00:00.0950000,3,5,9,16017,16021,0,16021,71507,87528,1.1976025472935006,1.4655249610357575,0.011813215911388397,1,3,2,1
9,5,4569,00:00:00.1090000,3,11,17,31986,32018,0,32018,132338,164356,1.3283311448758832,1.7934198563354493,0.01805848814547062,1,3,2,1
9,6,4807,00:00:00.1150000,4,15,33,63910,64004,0,64004,241415,305419,1.4628070724456266,2.008935388716257,0.02947121113538742,1,4,3,1
9,7,5021,00:00:00.1210000,5,31,64,128266,128422,0,128422,437831,566253,1.5956449877598116,1.9661451428674426,0.03622889146208763,1,5,4,1
9,8,5215,00:00:00.1310000,5,53,108,255656,256048,0,256048,793989,1050037,1.7012078730794504,1.7601510571483672,0.0408821776509285,1,5,4,1
9,9,5397,00:00:00.1460000,4,100,201,511736,513471,0,513471,1461160,1974631,1.7861045539106102,1.5396091272604833,0.049101874232292175,1,4,3,1
9,10,5571,00:00:00.1710000,5,201,385,1021808,1025562,0,1025562,2746080,3771642,1.8474458998167953,1.3845490680759214,0.05005427077412605,1,5,4,1
9,11,5741,00:00:00.2210000,5,401,733,2041414,2052323,0,2052323,5250673,7302996,1.892764524981214,1.2702905870921175,0.05267795920372009,1,5,4,1
9,12,5906,00:00:00.3180000,6,816,1444,4068210,4096129,0,4096129,10113896,14210025,1.9266864296582527,1.1954544180505613,0.05351147800683975,2,6,4,1.25
9,13,6069,00:00:00.5140000,6,1556,2766,8123352,8208545,0,8208545,19724173,27932718,1.9506339255026743,1.1442304811300283,0.05447264388203621,2,6,4,1.25
9,14,6229,00:00:00.8440000,8,3060,5380,16188575,16413192,0,16413192,38616237,55029429,1.970247659228808,1.1172959529551807,0.054567307233810425,2,8,6,1.1666666
9,15,6387,00:00:01.4450000,10,6181,10746,32192708,32824869,0,32824869,75917139,108742008,1.987210892603381,1.1054978768007249,0.05476417392492294,2,10,8,1.125
9,16,6543,00:00:03.0720000,12,12238,21388,64007487,65757283,0,65757283,149619679,215376962,2.007305770339023,1.1112766101174385,0.05428943410515785,2,12,10,1.1
9,17,6695,00:00:07.6440000,19,24296,42186,127023295,131160335,0,131160335,293088598,424248933,2.0396329507906406,1.1523595903912673,0.05363612249493599,3,19,16,1.125
9,18,6844,00:00:16.8840000,22,48409,83341,251723921,263093508,0,263093508,574240656,837334164,2.084277469204049,1.2228687219982093,0.05378127098083496,3,22,19,1.1052631
9,19,6986,00:00:34.2540000,27,96230,163427,496302418,526107869,0,526107869,1110218151,1636326020,2.1608087611614257,1.3637740333067925,0.05661509186029434,3,27,24,1.0833334
9,20,7119,00:01:05.6930000,37,189066,316732,982372927,1051870917,0,1051870917,2112396443,3164267360,2.29064783561569,1.6501454143787229,0.06608522683382034,4,37,33,1.0909091
10,0,3707,00:00:00.0450000,1,1,2,1001,1001,0,1001,5878,6879,1,1,0,0,1,1,0
10,1,4083,00:00:00.0570000,1,1,4,2002,2002,0,2002,11332,13334,1,1,0,0,1,1,0
10,2,4448,00:00:00.0760000,1,1,4,4017,4017,0,4017,21792,25809,1,1,0,0,1,1,0
10,3,4795,00:00:00.0800000,1,3,7,8008,8010,0,8010,41443,49453,1,1,0,0,1,1,0
10,4,5117,00:00:00.0840000,2,3,8,16022,16028,0,16028,78553,94581,1.0015603545125453,1.0031255299442612,0,1,2,1,1
10,5,5470,00:00:00.0910000,3,7,19,32041,32046,0,32046,160242,192288,1.0045254517649262,1.0091019677072455,0,1,3,2,1
10,6,5805,00:00:00.1070000,3,22,46,63993,64091,0,64091,314913,379004,1.0079383682590284,1.0160344271178408,0.007718000095337629,1,3,2,1
10,7,6146,00:00:00.1190000,4,34,80,127737,128113,0,128113,629662,757775,1.0150073980131051,1.0305955072994908,0.011738430708646774,1,4,3,1
10,8,6480,00:00:00.1390000,8,69,161,255717,256284,0,256284,1245328,1501612,1.0398761130468448,1.0818824914796876,0.028232630342245102,2,8,6,1.1666666
10,9,6802,00:00:00.1760000,8,131,305,510823,512884,0,512884,2431110,2943994,1.0896279141698788,1.191295405490711,0.06268606334924698,2,8,6,1.1666666
10,10,7100,00:00:00.2360000,8,267,583,1018260,1025978,0,1025978,4618521,5644499,1.1875179227309332,1.4289452023219176,0.12295891344547272,2,8,6,1.1666666
10,11,7359,00:00:00.3560000,9,515,1086,2025553,2050339,0,2050339,8407868,10458207,1.3645058904901526,1.9491607015643935,0.19830939173698425,2,9,7,1.1428572
10,12,7575,00:00:00.5230000,9,985,1982,4032190,4105515,0,4105515,14718348,18823863,1.6135792212172542,2.8714749048137502,0.28327101469039917,2,9,7,1.1428572
10,13,7752,00:00:00.7600000,11,1758,3478,8046174,8217004,0,8217004,25078768,33295772,1.8959387405740915,3.775114474489125,0.23062659800052643,2,11,9,1.1111112
10,14,7901,00:00:01.1040000,11,3289,6107,16000984,16401558,0,16401558,42531938,58933496,2.1571049630447727,3.6258408524224413,0.24355770647525787,2,11,8,1.25
10,15,8033,00:00:01.6010000,14,6155,10847,32143554,32948016,0,32948016,73567422,106515438,2.378562650539514,2.883235153872455,0.2274004966020584,3,14,9,1.4444444
10,16,8152,00:00:02.4560000,14,11726,19683,63984184,65789508,0,65789508,129662463,195451971,2.546035282719242,2.2548241965200995,0.2034195512533188,3,14,9,1.4444444
10,17,8263,00:00:03.9980000,15,22586,36586,127298667,131311425,0,131311425,234202139,365513564,2.6738022087851085,1.8552935940852449,0.18994201719760895,3,15,9,1.5555556
10,18,8369,00:00:08.2240000,18,44219,69889,254179698,262884154,0,262884154,433961030,696845184,2.7732586848852105,1.6171500131957923,0.16257503628730774,3,18,12,1.4166666
10,19,8471,00:00:17.5070000,21,87012,134699,507357123,526752718,0,526752718,819097155,1345849873,2.8516342461993975,1.478696853393343,0.13790719211101532,3,21,15,1.3333334
10,20,8569,00:00:34.8840000,22,171432,261715,1003787647,1050497083,0,1050497083,1558719591,2609216674,2.9157948434087473,1.402344024041374,0.11696101725101471,3,22,16,1.3125
11,0,2075,00:00:00.0300000,1,1,2,1007,1007,0,1007,4310,5317,1,1,0,0,1,1,0
11,1,2440,00:00:00.0410000,1,1,3,2011,2011,0,2011,9222,11233,1,1,0,0,1,1,0
11,2,2781,00:00:00.0610000,1,2,4,4013,4014,0,4014,19025,23039,1,1,0,0,1,1,0
11,3,3152,00:00:00.0650000,2,3,7,8004,8005,0,8005,40633,48638,1.0013743128435781,1.002752385975965,0,1,2,1,1
11,4,3500,00:00:00.0710000,2,5,11,15994,16003,0,16003,80674,96677,1.001187945479555,1.002378663383854,0,1,2,1,1
11,5,3858,00:00:00.0760000,2,10,18,31945,32006,0,32006,162938,194944,1.002692127093442,1.005398701272644,0,1,2,1,1
11,6,4200,00:00:00.0820000,3,11,28,64089,64153,0,64153,321331,385484,1.0052271060556415,1.0105226651797032,0.002968918066471815,1,3,2,1
11,7,4551,00:00:00.1020000,3,34,68,127927,128204,0,128204,644101,772305,1.0115769149593128,1.0234917599860267,0.011456338688731194,1,3,2,1
11,8,4890,00:00:00.1230000,4,65,156,255250,256331,0,256331,1269296,1525627,1.0256650342801175,1.0530433954443554,0.019911540672183037,1,4,3,1
11,9,5218,00:00:00.1610000,6,139,319,509044,512169,0,512169,2473361,2985530,1.0573152811937672,1.1236210577253696,0.038127362728118896,1,6,5,1
11,10,5529,00:00:00.2310000,10,281,606,1016198,1024244,0,1024244,4758678,5782922,1.1237170315233842,1.2816883140305084,0.06908076256513596,2,10,8,1.125
11,11,5813,00:00:00.3530000,12,560,1187,2027789,2052649,0,2052649,8928855,10981504,1.2392936345941319,1.6054816225376498,0.1192304939031601,2,12,10,1.1
11,12,6060,00:00:00.5660000,14,980,2116,4033480,4105772,0,4105772,16164214,20269986,1.415356962226167,2.2313635700853562,0.1769176870584488,2,14,12,1.0833334
11,13,6268,00:00:00.8950000,15,1784,3706,8000751,8194905,0,8194905,28321419,36516324,1.6387852840314616,3.258096894710429,0.2303473949432373,2,15,13,1.0769231
11,14,6445,00:00:01.3480000,18,3396,6575,15995557,16446651,0,16446651,49043602,65490253,1.887513826495695,4.418450103778966,0.26266252994537354,3,18,15,1.1333333
11,15,6596,00:00:01.9580000,20,6360,11758,31826054,32841489,0,32841489,84477880,117319369,2.12638745601324,4.782586427042217,0.272154837846756,3,20,16,1.1875
11,16,6730,00:00:02.9630000,21,12269,21500,63557595,65749371,0,65749371,147452688,213202059,2.338293952123267,4.248576883055476,0.26774144172668457,3,21,17,1.1764706
11,17,6851,00:00:04.9260000,21,23210,39122,126398044,131230411,0,131230411,261220238,392450649,2.513241328323087,3.526098515322498,0.25466808676719666,3,21,17,1.1764706
11,18,6964,00:00:10.1860000,22,44888,73369,252834786,263333612,0,263333612,474064191,737397803,2.658902699409408,2.9878832983341126,0.23799262940883636,3,22,18,1.1666666
11,19,7070,00:00:20.3700000,22,87924,139822,503958240,527693123,0,527693123,874596393,1402289516,2.78065819699664,2.652623602744596,0.22364965081214905,3,22,18,1.1666666
11,20,7170,00:00:39.2210000,27,172727,268075,1003453304,1052704209,0,1052704209,1630155393,2682859602,2.892326228266622,2.5075092549020677,0.2086322158575058,3,27,22,1.1818181
12,0,2644,00:00:00.1660000,1,1,3,1001,1001,0,1001,5264,6265,1,1,0,0,1,1,0
12,1,3010,00:00:00.1980000,1,1,3,2008,2008,0,2008,10518,12526,1,1,0,0,1,1,0
12,2,3363,00:00:00.2520000,1,3,7,4003,4007,0,4007,20736,24743,1,1,0,0,1,1,0
12,3,3711,00:00:00.2700000,3,4,10,8006,8010,0,8010,40692,48702,1.005745690731951,1.0115731810779538,0,1,3,2,1
12,4,4062,00:00:00.3100000,3,4,10,16032,16046,0,16046,81740,97786,1.0083582834331337,1.0168819934014814,0.00582347484305501,1,3,2,1
12,5,4415,00:00:00.3290000,4,9,19,32051,32057,0,32057,163229,195286,1.029983463854482,1.062301879034013,0.023037798702716827,1,4,3,1
12,6,4744,00:00:00.3540000,4,23,44,63981,64112,0,64112,315091,379203,1.0692080461386975,1.151060423479005,0.0502329021692276,1,4,3,1
12,7,5051,00:00:00.3860000,6,35,73,127816,128049,0,128049,597915,725964,1.1375023471239907,1.3212253046745874,0.08483964949846268,2,6,4,1.25
12,8,5334,00:00:00.4310000,6,67,141,255381,256413,0,256413,1117386,1373799,1.2492941918153662,1.6502619235373055,0.14756187796592712,2,6,4,1.25
12,9,5582,00:00:00.5100000,8,122,262,509708,512282,0,512282,2023186,2535468,1.4117220055404271,2.235410831171267,0.20529192686080933,2,8,5,1.4
12,10,5796,00:00:00.6230000,9,230,458,1020302,1027136,0,1027136,3590897,4618033,1.6070222345932872,3.0408804142638974,0.2606376111507416,2,9,6,1.3333334
12,11,5980,00:00:00.7450000,10,437,841,2036795,2053774,0,2053774,6288033,8341807,1.815088410959375,3.8023564705363393,0.3194391429424286,2,10,7,1.2857143
12,12,6141,00:00:00.8590000,11,793,1473,4063967,4104833,0,4104833,11013359,15118192,2.019697502464956,4.132962665069495,0.3594748377799988,2,11,8,1.25
12,13,6284,00:00:01.0820000,11,1516,2707,8086134,8193688,0,8193688,19399389,27593077,2.20598459041119,3.8844215338571035,0.3773643374443054,2,11,8,1.25
12,14,6415,00:00:01.4160000,12,3002,5097,16162040,16434694,0,16434694,34783455,51218149,2.3747425448767605,3.324968072584278,0.4122823178768158,3,12,8,1.375
12,15,6536,00:00:01.9710000,13,5829,9631,32301563,32963958,0,32963958,63315289,96279247,2.518076787801259,2.774624351082594,0.25700321793556213,3,13,9,1.3333334
12,16,6648,00:00:03.2270000,17,11233,18195,64226101,65562252,0,65562252,116078218,181640470,2.651735483678201,2.3828340470424876,0.26209792494773865,4,17,10,1.6
12,17,6755,00:00:06.1030000,17,22213,34825,128505150,131738750,0,131738750,216867879,348606629,2.7759705350330317,2.1243940134082697,0.23039516806602478,4,17,10,1.6
12,18,6855,00:00:11.5400000,19,43732,67109,256356384,263629028,0,263629028,405624862,669253890,2.9142785030077505,2.026743648376552,0.19981825351715088,4,19,12,1.5
12,19,6948,00:00:21.2060000,21,85312,128760,511025907,527068099,0,527068099,756365542,1283433641,3.0847145583169033,2.0849373259615134,0.17155466973781586,4,21,14,1.4285715
12,20,7033,00:00:38.3250000,24,165046,244839,1017354947,1050611320,0,1050611320,1395493694,2446105014,3.2989921756383813,2.294532610875407,0.15066887438297272,4,24,16,1.4375
13,0,2769,00:00:00.0350000,1,1,1,1010,1010,0,1010,4469,5479,1,1,0,0,1,1,0
13,1,3155,00:00:00.0470000,1,1,2,2008,2008,0,2008,9809,11817,1,1,0,0,1,1,0
13,2,3511,00:00:00.0660000,1,3,4,4002,4005,0,4005,19884,23889,1,1,0,0,1,1,0
13,3,3843,00:00:00.0710000,2,3,5,8002,8004,0,8004,39183,47187,1.002749312671832,1.0055137650853585,0,1,2,1,1
13,4,4210,00:00:00.0760000,2,2,6,16007,16007,0,16007,82236,98243,1.0016867620416068,1.0033791938812713,0,1,2,1,1
13,5,4555,00:00:00.0800000,2,7,14,32003,32013,0,32013,161430,193443,1.0064368965409494,1.0129566286522624,0,1,2,1,1
13,6,4891,00:00:00.0880000,2,22,39,64000,64117,0,64117,315104,379221,1.014546875,1.0295167807736754,0,1,2,1,1
13,7,5235,00:00:00.1000000,5,39,83,127844,128273,0,128273,633989,762262,1.0325787678733456,1.0675029461435426,0.010229629464447498,1,5,4,1
13,8,5558,00:00:00.1300000,7,75,155,254861,256239,0,256239,1231070,1487309,1.0721687508092645,1.1522428710427564,0.023246727883815765,2,7,5,1.2
