RepeatId,GenerationId,Generations,Time,SubcloneSelect,SubcloneAlive,SubcloneTotal,CellSelectCount,CellAliveCount,CellNecroCount,CellTumorCount,CellLostCount,CellTotalCount,MeanDriversPerCell,ClonalDiversity,TreeBalance,TreeDepth,NodeCount,LeafCount,Branching
0,0,781,00:00:00.0170000,1,1,1,849,849,154,1003,1183,2186,1,1,0,0,1,1,0
0,1,919,00:00:00.0250000,1,1,1,1500,1500,506,2006,2525,4531,1,1,0,0,1,1,0
0,2,1074,00:00:00.0450000,1,2,3,2697,2698,1308,4006,4921,8927,1,1,0,0,1,1,0
0,3,1267,00:00:00.0480000,3,3,4,4737,4737,3282,8019,9902,17921,1.0065442263035678,1.013196070313851,0,1,3,2,1
0,4,1493,00:00:00.0600000,3,5,6,8107,8115,7887,16002,19689,35691,1.0525471814481313,1.1120163495150708,0.04554227367043495,1,3,2,1
0,5,1718,00:00:00.0630000,4,7,9,14986,15000,17027,32027,35186,67213,1.3085546510076072,1.876080299610921,0.18674883246421814,1,4,3,1
0,6,1905,00:00:00.0660000,5,12,15,28921,28948,35163,64111,56222,120333,1.6570657999377616,2.7568917369368893,0.3317992389202118,1,5,4,1
0,7,2087,00:00:00.0700000,6,12,22,53089,53194,74953,128147,89765,217912,1.8664883497523028,2.2901363062649,0.4375933110713959,2,6,4,1.25
0,8,2286,00:00:00.0750000,8,20,36,95568,95879,160992,256871,148692,405563,2.0024380545789384,2.1519613275061453,0.45714518427848816,2,8,6,1.1666666
0,9,2494,00:00:00.0820000,14,32,56,177008,177272,335367,512639,247059,759698,2.2676715176715176,3.0180706273023246,0.3650316298007965,3,14,10,1.3
0,10,2677,00:00:00.0920000,16,81,130,362454,363818,661541,1025359,384563,1409922,2.8002477555772596,4.058798951697983,0.23871535062789917,3,16,12,1.25
0,11,2822,00:00:00.1100000,18,168,241,776209,783194,1270739,2053933,558802,2612735,3.4059319075145997,2.995970747859249,0.14459943771362305,4,19,14,1.2857143
0,12,2952,00:00:00.1370000,17,301,450,1573924,1599032,2505107,4104139,810038,4914177,3.8432713396580773,2.0694754135191773,0.09862451255321503,4,18,13,1.3076923
0,13,3077,00:00:00.1900000,25,636,914,3162264,3214986,4997058,8212044,1194755,9406799,4.258019887017656,2.674716948201107,0.0634302869439125,5,26,19,1.3157895
0,14,3194,00:00:00.2880000,25,1265,1789,6401732,6560964,9853151,16414115,1766704,18180819,4.734031977596063,4.4437678687685285,0.10753609240055084,5,25,19,1.2631578
0,15,3292,00:00:00.4530000,26,2559,3510,13878895,14382378,18557461,32939839,2523235,35463074,5.472161508535081,7.063339062747628,0.22180739045143127,5,26,18,1.3888888
0,16,3364,00:00:00.6730000,32,5275,6910,31446742,32767105,33424078,66191183,3410832,69602015,6.290757942428503,3.997444412242067,0.31310757994651794,6,32,22,1.4090909
0,17,3420,00:00:01.0180000,44,10807,13638,69597600,72550437,59613528,132163965,4506787,136670752,7.069572126050324,3.8446537070347597,0.22467078268527985,5,44,33,1.3030303
0,18,3460,00:00:01.5620000,54,22562,27195,157182219,164487828,101719688,266207516,5746695,271954211,8.007509729837826,5.802883083532912,0.16702570021152496,5,54,42,1.2619047
0,19,3486,00:00:02.4310000,56,45893,52946,341920048,362944933,161898245,524843178,7009677,531852855,9.13155803312241,8.323320789996817,0.1538040190935135,7,56,37,1.4864864
0,20,3496,00:00:03.0380000,55,100621,109332,824598447,872167657,213092724,1085260381,7762820,1093023201,11.1335508348344,4.297890184777708,0.12300329655408859,9,56,34,1.617647
9,0,1080,00:00:00.0340000,1,1,1,828,828,178,1006,1537,2543,1,1,0,0,1,1,0
9,1,1220,00:00:00.0440000,1,1,1,1518,1518,491,2009,2836,4845,1,1,0,0,1,1,0
9,2,1390,00:00:00.0620000,1,1,1,2678,2678,1341,4019,5498,9517,1,1,0,0,1,1,0
9,3,1587,00:00:00.0640000,1,3,4,4629,4631,3383,8014,10653,18667,1,1,0,0,1,1,0
9,4,1825,00:00:00.0670000,3,4,7,8019,8021,7999,16020,20870,36890,1.005362264621524,1.0107917728624196,0,1,3,2,1
9,5,2094,00:00:00.0810000,4,10,15,13992,14019,17982,32001,39637,71638,1.0711835334476845,1.15450002663602,0.034546151757240295,1,4,3,1
9,6,2350,00:00:00.0860000,8,11,19,26188,26216,37795,64011,68535,132546,1.413624560867573,2.194305671693412,0.1444702446460724,1,8,7,1
9,7,2559,00:00:00.0910000,9,19,30,50760,50787,77344,128131,106608,234739,1.7567375886524823,2.36345269216251,0.2615114748477936,1,9,8,1
9,8,2772,00:00:00.0980000,12,30,52,91873,92074,164531,256605,169922,426527,1.9247439400041362,1.858561194304061,0.3188381791114807,2,12,9,1.2222222
9,9,3010,00:00:00.1090000,20,53,89,163541,163967,349297,513264,282948,796212,2.0466427379067023,1.8979876587165598,0.3262132704257965,2,20,17,1.117647
9,10,3252,00:00:00.1280000,25,85,150,310612,312531,712852,1025383,465187,1490570,2.3916815834545995,3.882636924667862,0.32267075777053833,3,25,21,1.1428572
9,11,3462,00:00:00.1540000,27,170,277,637486,645378,1408792,2054170,718549,2772719,2.9058096962129363,9.432124679090043,0.436712384223938,3,28,23,1.173913
9,12,3637,00:00:00.1940000,29,313,509,1355397,1377735,2735623,4113358,1055071,5168429,3.488948994279905,10.729225751855127,0.6220153570175171,4,30,22,1.3181819
9,13,3779,00:00:00.2590000,38,656,990,2972790,3017809,5209409,8227218,1489542,9716760,4.157920337460769,9.623127198453084,0.6646866202354431,5,39,26,1.4615384
9,14,3882,00:00:00.3470000,39,1308,1873,6852363,6993419,9409343,16402762,1986957,18389719,5.050851946985295,7.23613430050161,0.42353349924087524,6,40,26,1.5
9,15,3953,00:00:00.4780000,37,2720,3605,15877556,16333655,16495856,32829511,2533686,35363197,5.938611269895694,5.474960917019859,0.18544213473796844,6,38,25,1.48
9,16,4010,00:00:00.6410000,44,5468,6962,35036848,36367957,29854950,66222907,3237614,69460521,6.644027938814587,5.386216435969143,0.21215154230594635,6,45,30,1.4666667
9,17,4055,00:00:00.9320000,46,11143,13657,74798465,78237852,52893920,131131772,4115473,135247245,7.393126102253569,8.025197005542488,0.23485781252384186,8,47,32,1.4375
