ParentId,ChildId
	0,2
	0,5
	5,12
	5,13
	13,33
	13,57
	33,88
	88,153
	153,154
	154,233
	154,262
	154,268
	233,281
	233,318
	281,422
	281,559
	422,1165
	281,1222
	281,1235
	1235,2341
	318,2700
	1235,3648
	3648,3955
	3648,6245
	6245,8377
	6245,8774
	6245,9038
	6245,9674
	8377,12914
	6245,13987
	9038,14128
	9038,14475
	8377,15110
	8377,15324
	6245,15809
	14475,21304
	14128,27524
	12914,29030
	9038,30291
	12914,31099
	14128,49770
